airline	flight_num	origin	departure	ticket_price	reserve_from	reserve_till	departure_date	flight_type
Wizz Air	W1220	SZD	BUD	73 223 Ft	2025.04.01	2025.06.15	2025.06.25	domestic
Lufthansa	LH7891	FRA	DUB	406 832 Ft	2025.01.20	2025.03.10	2025.03.15	international
British Airways	BA0989	LHR	LTN	347 637 Ft	2025.05.20	2025.07.30	2025.08.05	international
Air France	AF4321	CDG	BUD	193 288 Ft	2025.05.25	2025.09.01	2025.09.09	international
Wizz Air	W1100	BUD	SZD	84 505 Ft	2025.02.15	2025.04.10	2025.04.22	domestic
Wizz Air	W1040	BUD	SKF	109 882 Ft	2025.06.01	2025.08.15	2025.08.17	domestic
British Airways	BA5432	LHR	FRA	421 548 Ft	2024.12.01	2025.01.20	2025.01.27	international
Wizz Air	W1030	BUD	PEV	42 652 Ft	2025.05.01	2025.07.10	2025.07.19	domestic
Ryanair	FR8903	STN	DUB	250 046 Ft	2025.03.15	2025.05.20	2025.05.23	international
Wizz Air	W6678	LTN	FRA	388 826 Ft	2025.05.25	2025.10.10	2025.10.19	international
British Airways	BA4321	LHR	BUD	387 156 Ft	2025.05.05	2025.06.30	2025.07.02	international
Wizz Air	W1050	DEB	BUD	72 079 Ft	2025.03.01	2025.04.15	2025.04.17	domestic
Lufthansa	LH1236	FRA	LTN	149 607 Ft	2024.11.01	2025.01.01	2025.01.12	international
Wizz Air	W1230	PEV	BUD	98 247 Ft	2025.04.20	2025.06.20	2025.06.24	domestic
Wizz Air	W1260	BUD	SZD	90 123 Ft	2025.05.10	2025.07.10	2025.07.16	domestic
Air France	AF9877	CDG	MUC	305 839 Ft	2024.10.10	2025.02.15	2025.02.20	international
Ryanair	FR4321	DUB	BUD	288 172 Ft	2025.05.25	2025.08.25	2025.08.28	international
Wizz Air	W1240	SKF	BUD	32 366 Ft	2025.03.05	2025.04.30	2025.05.02	domestic
British Airways	BA0987	LHR	ORY	383 704 Ft	2025.05.23	2025.07.23	2025.07.30	international
Ryanair	FR9013	STN	CDG	257 390 Ft	2025.02.01	2025.04.15	2025.04.26	international
Air France	AF3211	CDG	LTN	294 050 Ft	2025.06.10	2025.09.10	2025.09.21	international
Wizz Air	W1140	SZD	BUD	64 749 Ft	2025.01.15	2025.03.01	2025.03.08	international
